City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1235,Dehloran,IR,32.6941,47.2679,60.35,39,88,11.56,Clear sky
1236,Hueyapan,MX,18.8667,-98.6667,60.08,54,0,3.58,broken clouds
1237,Buchanan,LR,5.8808,-10.0467,77.79,85,7,2.68,Clear sky
1238,Horsham,GB,51.064,-0.3272,50.32,85,75,9.22,Clear sky
1239,Lindas,NO,60.7381,5.16,38.77,76,100,19.04,few clouds
1240,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,20,12.12,haze
1241,Kathmandu,NP,27.7167,85.3167,48.42,93,75,10.36,Clear sky
1242,Kochevo,RU,59.5994,54.3125,-4.63,100,100,1.45,Clear sky
1243,Fort-Shevchenko,KZ,44.5086,50.263,41.94,95,100,8.46,heavy intensity rain
1244,Abhaynagar,BD,23.0129,89.4049,76.96,50,5,8.84,Clear sky
1245,Bideford,GB,51.0179,-4.2046,51.73,83,100,24.92,Clear sky
1246,Sepuka,TZ,-4.75,34.5333,60.21,93,100,3.89,broken clouds
1247,Berbera,SO,10.4396,45.0143,72.99,66,1,3.02,Clear sky
1248,Manggar,ID,-2.8833,108.2667,85.41,64,47,5.77,Clear sky
1249,Shu,KZ,43.5983,73.7614,33.67,72,5,1.68,few clouds
1250,Drayton Valley,CA,53.2168,-114.9854,-2.09,96,100,8.57,haze
1251,San Lorenzo,PY,-25.3333,-57.5333,74.59,94,100,7,Clear sky
1252,Eresos,GR,39.1667,25.9333,44.11,68,3,25.86,Clear sky
1253,Norwich,GB,52.6278,1.2983,48.47,84,75,12.66,heavy intensity rain
1254,Krasnyy Chikoy,RU,50.3643,108.7512,6.17,91,93,1.9,Clear sky
1255,Oarai,JP,36.3167,140.6,48.34,47,100,5.21,Clear sky
1256,Panaba,MX,21.2833,-88.2667,70.99,94,0,7.58,broken clouds
1257,Ankazoabo,MG,-22.2833,44.5167,76.15,69,0,5.57,Clear sky
1258,Traverse City,US,44.7631,-85.6206,10.35,72,0,4.61,Clear sky
1259,Ambilobe,MG,-13.2,49.05,77.13,90,98,7.81,few clouds
1260,Taywarah,AF,33.35,64.4167,17.82,38,6,3.47,haze
1261,Koumac,NC,-20.5667,164.2833,84.81,77,94,10.42,Clear sky
1262,Do Gonbadan,IR,30.3586,50.7981,46.49,76,40,0,Clear sky
1263,Kantang,TH,7.4054,99.5156,87.89,62,20,10.36,heavy intensity rain
1264,Pemberton,CA,50.3164,-122.8027,31.86,97,97,3.36,Clear sky
1265,Chumikan,RU,54.7183,135.315,3.04,75,100,15.5,Clear sky
